key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration
0.0004,space,1.0437,,,2023-10-27_16h54.21.384,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,
,,,,,2023-10-27_16h54.21.384,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,
,,,,,2023-10-27_16h54.21.384,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,142.8961,space,1.1197,,,,,,,,,
,,,,,2023-10-27_16h54.21.384,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,144.0444,space,0.3828,,,,,
,,,,,2023-10-27_16h54.21.384,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,144.4454,space,0.3653,
