key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,blockNumber,blockAssignment,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,rewardPresentationTime,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,444.7391,up,0.1535,,1.5,,stimuli/card_0_transparent.png,620,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,446.7044,right,0.0059,,1.5,,stimuli/card_100_transparent.png,720,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,448.5239,right,0.0653,,0.5,,stimuli/card_100_transparent.png,820,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,449.4067,right,0.1026,,0.5,,stimuli/card_100_transparent.png,920,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,450.324,right,0.1644,,0.5,,stimuli/card_100_transparent.png,1020,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.3053,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,456.3146,right,0.5952,,1.5,,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,458.7293,left,0.4622,,1.5,,stimuli/card_100_transparent.png,110,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,461.0117,left,0.1251,,0.5,,stimuli/card_100_transparent.png,210,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,461.9619,left,0.1156,,0.5,,stimuli/card_100_transparent.png,310,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,462.8844,left,0.2643,,0.5,,stimuli/card_100_transparent.png,410,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,463.9668,left,0.0316,,1.5,,stimuli/card_100_transparent.png,510,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,465.8324,left,0.0833,,1,,stimuli/card_100_transparent.png,610,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,467.231,left,0.0346,,1.5,,stimuli/card_0_transparent.png,610,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,469.0828,up,0.1255,,1.5,,stimuli/card_100_transparent.png,710,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,471.0131,up,0.1051,,0.5,,stimuli/card_0_transparent.png,710,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,471.933,up,0.15,,0.5,,stimuli/card_100_transparent.png,810,100,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,472.8879,up,0.28,,1.5,,stimuli/card_100_transparent.png,910,100,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,474.9903,up,0.0202,,0.5,,stimuli/card_100_transparent.png,1010,100,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,475.8223,up,0.0835,,1.5,,stimuli/card_100_transparent.png,1110,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,477.7226,up,0.2157,,1.5,,stimuli/card_10_transparent.png,1120,10,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.7542,space,1.8439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.6207,3,"[0,4,6,3,5,7,8,1,9,2]",481.6207,space,1.6748,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,"[12,15]","[[2,1,3],[2,3,1]]",483.3175,up,1.4629,,1,0.3,"[2,1,3]",0.172815265,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.0958,right,3.6541,,1.5,0.3,"[2,1,3]",0.833391283,stimuli/card_0_transparent.png,10,0,1,0,1,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.5605,up,2.3088,,1.5,0.3,"[2,1,3]",0.866905193,stimuli/card_100_transparent.png,110,100,2,0,2,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.6835,left,0.1304,,1.5,0.3,"[2,1,3]",0.902868726,stimuli/card_10_transparent.png,120,10,3,0,3,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.6351,up,0.4158,,1.5,0.3,"[2,1,3]",0.922832821,stimuli/card_100_transparent.png,220,100,4,0,4,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.8658,up,0.1661,,1,0.3,"[2,1,3]",0.31248045,stimuli/card_100_transparent.png,320,100,5,0,5,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.3507,up,0.2159,,0.5,0.3,"[2,1,3]",0.925516809,stimuli/card_100_transparent.png,420,100,6,0,6,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.3727,up,0.5162,,1,0.3,"[2,1,3]",0.43482269,stimuli/card_100_transparent.png,520,100,7,0,7,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.2064,up,0.2977,,1.5,0.3,"[2,1,3]",0.914209401,stimuli/card_100_transparent.png,620,100,8,0,8,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.3237,up,0.6845,,1,0.3,"[2,1,3]",0.762688917,stimuli/card_100_transparent.png,720,100,9,0,9,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.3231,up,0.2112,,1.5,0.3,"[2,1,3]",0.643146361,stimuli/card_100_transparent.png,820,100,10,0,10,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.3563,up,0.1516,,1.5,0.3,"[2,1,3]",0.246559996,stimuli/card_100_transparent.png,920,100,11,0,11,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.3238,up,0.1558,,0.5,0.3,"[2,3,1]",0.781389224,stimuli/card_0_transparent.png,920,0,12,0,12,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.2957,up,0.3419,,1.5,0.3,"[2,3,1]",0.706193884,stimuli/card_0_transparent.png,920,0,13,0,13,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.4437,right,0.072,,1,0.3,"[2,3,1]",0.197924865,stimuli/card_10_transparent.png,930,10,14,0,14,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.8283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,"[5,15]","[[1,2,3],[3,1,2]]",521.8314,right,1.3299,,1,0.3,"[1,2,3]",0.040206036,stimuli/card_100_transparent.png,100,100,0,0,0,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.4816,up,0.592,,1.5,0.3,"[1,2,3]",0.597322999,stimuli/card_10_transparent.png,110,10,1,0,1,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.8846,left,0.3892,,1.5,0.3,"[1,2,3]",0.202211068,stimuli/card_100_transparent.png,210,100,2,0,2,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.0853,up,0.1328,,1.5,0.3,"[1,2,3]",0.562340434,stimuli/card_10_transparent.png,220,10,3,0,3,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.0334,up,0.0104,,1,0.3,"[1,2,3]",0.776641825,stimuli/card_10_transparent.png,230,10,4,0,4,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.3677,,,,1,0.3,,,,,,5,0,5,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.8737,,,,1,0.3,,,,,,6,0,6,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.3809,,,,0.5,0.3,,,,,,7,0,7,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.897,,,,0.5,0.3,,,,,,8,0,8,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.401,,,,1,0.3,,,,,,9,0,9,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.9166,,,,1,0.3,,,,,,10,0,10,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.4241,,,,1.5,0.3,,,,,,11,0,11,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.9386,,,,1,0.3,,,,,,12,0,12,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.4471,,,,0.5,0.3,,,,,,13,0,13,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.9637,,,,1,0.3,,,,,,14,0,14,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.4687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,"[9,15]","[[1,3,2],[2,3,1]]",592.4678,,,,0.5,0.3,,,,,,0,0,0,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.977,,,,1,0.3,,,,,,1,0,1,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.4803,,,,1.5,0.3,,,,,,2,0,2,0,1,,,,,
,,,,,2023-10-06_14h29.04.303,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.9971,,,,1,0.3,,,,,,3,0,3,0,1,,,,,
