key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,blockNumber,blockAssignment,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,rewardPresentationTime,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
0.0016,space,1.6153,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,143.2453,space,60.9599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,204.2282,space,13.0477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,217.2901,space,5.3352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",222.6489,up,1.2445,,1.5,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,225.742,left,0.3424,,1,,stimuli/card_10_transparent.png,10,10,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,227.4126,up,0.9332,,1.5,,stimuli/card_100_transparent.png,110,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,230.1634,right,0.128,,1,,stimuli/card_0_transparent.png,110,0,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,231.6134,up,0.121,,1,,stimuli/card_0_transparent.png,110,0,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,233.0475,up,0.1747,,1.5,,stimuli/card_100_transparent.png,210,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,235.0292,up,0.0837,,0.5,,stimuli/card_100_transparent.png,310,100,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,235.9295,up,0.0495,,1.5,,stimuli/card_0_transparent.png,310,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,237.7842,up,0.0538,,0.5,,stimuli/card_100_transparent.png,410,100,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,238.6511,up,0.041,,0.5,,stimuli/card_0_transparent.png,410,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,239.5185,up,0.0544,,1.5,,stimuli/card_0_transparent.png,410,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,241.3844,up,0.1883,,0.5,,stimuli/card_0_transparent.png,410,0,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,242.3837,up,0.0767,,1,,stimuli/card_0_transparent.png,410,0,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,243.7684,right,0.0064,,0.5,,stimuli/card_10_transparent.png,420,10,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,244.5846,left,0.001,,0.5,,stimuli/card_10_transparent.png,430,10,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.4039,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,250.4104,up,0.8272,,0.5,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,252.0569,left,0.5714,,1,,stimuli/card_100_transparent.png,100,100,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,253.9408,left,0.3247,,1.5,,stimuli/card_100_transparent.png,200,100,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,256.0871,left,0.1727,,1.5,,stimuli/card_100_transparent.png,300,100,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,258.0637,left,0.1638,,1,,stimuli/card_100_transparent.png,400,100,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,259.5466,left,0.011,,0.5,,stimuli/card_100_transparent.png,500,100,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,260.3789,left,0.0038,,1.5,,stimuli/card_0_transparent.png,500,0,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,262.1976,left,0.0494,,1,,stimuli/card_0_transparent.png,500,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,263.5614,left,0.0031,,1,,stimuli/card_0_transparent.png,500,0,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,264.8789,left,0.0201,,1.5,,stimuli/card_0_transparent.png,500,0,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2023-10-06_14h47.33.123,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,266.7013,right,0.2596,,1,,stimuli/card_10_transparent.png,510,10,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
