key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration
0.0004,space,1.0736,,,2023-10-27_15h26.09.353,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,
,,,,,2023-10-27_15h26.09.353,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,
,,,,,2023-10-27_15h26.09.353,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,142.9367,space,174.4277,,,,,,,,,
,,,,,2023-10-27_15h26.09.353,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,317.3839,space,0.6781,,,,,
,,,,,2023-10-27_15h26.09.353,SlotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,318.0839,space,0.4011,
